Date,Precip,Temp,PET,Obs flow,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m42,m43,m44,m46
1996-09-26,0.0,4.52,20.7,0.19,0.0,0.000231092417665019,0.0,0.12024830217206098,0.5668851824287371,0.0628151411446074,9.39585510009691,5.28142683079703e-16,0.0,6.14611134457624e-06,7.33579203261807e-06,0.0562864317639635,0.00409028391276354,0.00010344252120337601,0.000136557982931326,0.42948576784673104,0.0,0.000670118886580084,0.0,0.0,0.576759193378657,1.0421637686089099e-52,0.43728039918239797,0.637670240287444,-0.0,0.25789774050376,8.45935980362982e-07,1.55565652801646e-09,0.0631038569878469,1.2016807946819,1.97060683020692,0.5967634504527839,4.92409739652389e-05,0.862156499378822,0.0949419849906405,0.8387014295839821,-1.47044443082508e-08,2.26615752576057e-16,-1.83962849143145,0.0,19.4154445449227,0.0551507927110897,0.3955312899045879
1996-09-27,0.0,4.93,17.38,0.19,0.0,7.83114106429251e-05,0.0,0.0606446976430917,0.570381732112508,0.03178278263808,9.39574833406033,2.12396208395975e-16,0.0,5.98722496139454e-06,7.3264983142541705e-06,0.0355384478623211,0.0043239213660101,0.000103437246364356,7.17529283751918e-05,0.44594976314881196,0.0,0.000374245717443865,0.0,0.0,0.49061986571681393,6.326128599016249e-53,0.42620130548143104,0.46008236464129904,-0.0,0.216343517231714,5.513499607841021e-07,1.5556448604544102e-09,0.0525390075572634,0.945238398100007,1.7942614031476498,0.47220727950766206,-0.000831983499127526,0.8533968005755609,0.09389168428757799,0.836605325254236,-1.87018481087052e-08,1.17006912845452e-16,-1.8333250391126001,0.0,20.453222231671102,0.039514178510182,0.37978537302191995
1996-09-28,0.0,9.58,20.04,0.19,0.0,2.6537768304343398e-05,0.0,0.0305437724087254,0.5564461076066199,0.0160572772155205,9.39565461742824,7.675281207690642e-17,0.0,5.81043286102613e-06,7.31722346417281e-06,0.0212192654558975,0.00455761397612677,0.000103431972063263,3.7601550223152e-05,0.46246631801984206,0.0,0.000209007475880968,0.0,0.0,0.42328975846720296,3.3888588156122094e-53,0.412021429145368,0.32581467233507694,-0.0,0.179484272639523,3.5060199760969894e-07,1.5556331928247598e-09,0.0433706165828429,0.7335212886396051,1.62423612603809,0.370189319851906,0.000307432665002248,0.8286849169835079,0.0923772927360203,0.8354215882070991,-2.12099443647265e-08,5.91259223777849e-17,-1.82688485476774,0.0,23.5967253670743,0.029250920382128,0.36577838079909897
1996-09-29,0.0,11.15,21.37,0.19,0.0,8.992982514210901e-06,0.0,0.0153730764906032,0.542565089434856,0.008101978820992629,9.3955723958688,2.62375647618788e-17,0.0,5.628284859256771e-06,7.307967428578391e-06,0.0122191544831304,0.00479133165080157,0.000103426698300011,1.9651110214994397e-05,0.47901953185430496,0.0,0.000116725784526006,0.0,0.0,0.365747054644335,1.6933545010467495e-53,0.396229090691494,0.226757770690783,-0.0,0.156292440614126,2.17086201443308e-07,1.5556215252362698e-09,0.0354905602696616,0.562174111254644,1.46323044311878,0.28790277843857204,0.000124928427997314,0.8125924765935899,0.0904716347278654,0.8347418661690471,-2.31042883270079e-08,2.94306517761742e-17,-1.8210607394990501,0.0,27.107164322209503,0.0223542213877788,0.3530634502052
1996-09-30,0.0,11.44,20.24,0.19,0.0,3.0474956889146703e-06,0.0,0.00774188554946313,0.530475699835808,0.004083414030692171,9.395500307485419,9.059889213376419e-18,0.0,5.460756854104979e-06,7.29873015938105e-06,0.00686045523443984,0.00502506071539158,0.000103421425074506,1.02445046126609e-05,0.495598306301323,0.0,6.51886192863801e-05,0.0,0.0,0.31519977738798605,8.672420025784848e-54,0.38058899252074396,0.15545577129809302,-0.0,0.141206779243112,1.3109021955686e-07,1.55560985784733e-09,0.0287977873054607,0.426090489207969,1.31308677529932,0.222602939421084,0.00017061707665246999,0.7709073180163291,0.0882506803605884,0.8343451215809591,-2.4764278953802597e-08,1.44911707607296e-17,-1.81572070207926,0.0,30.3239643608931,0.0175965219402351,0.341329599534903
1996-10-01,0.04,11.99,19.18,0.2,0.0,1.03271967439919e-06,0.0,0.0233583225902546,0.519750917151118,0.00668705114207528,9.395437136575179,3.1341264159524e-18,0.0,5.306342425192479e-06,7.289511596146401e-06,0.00645873498188524,0.0052587949558226205,0.00644279053872445,5.32859410795469e-06,0.512194931659163,0.0,3.6406318464433295e-05,0.0,0.0,0.27465168214252106,4.5582395992292993e-54,0.36533632830514506,0.10832936892063999,-0.0,0.130979079553222,8.53086646569412e-08,0.0173591717675886,0.0233639035266085,0.321406311439939,1.17520630496649,0.17236101328329298,0.00877624435228494,0.70942831352918,0.0857878826779114,0.8341099182018159,-2.61380119465795e-08,7.07833667896282e-18,-1.8107213928887702,0.0,33.4195822688413,0.0142215631147145,0.33115957560567105
1996-10-02,0.59,9.58,11.95,0.19,0.0,3.4996273490086497e-07,0.0,0.29986228552998306,0.506722415830876,0.0713891652237824,9.39538181295051,1.29338552419044e-18,0.0,5.21001969239526e-06,7.28031169071963e-06,0.0428066688296444,0.0054925315482756,0.0936088097206394,2.76426071387562e-06,0.5288040686483739,0.0,2.0332076958273397e-05,0.0,0.0,0.262520447985875,3.17005650434902e-54,0.35341582978760994,0.12238758552876801,-0.0,0.12366582799171198,1.74384416515001e-07,0.256047762182446,0.0213001614942357,0.265463921612523,1.05737493849489,0.14768332087568697,0.14157940449478199,0.647548422943615,0.0832424139023082,0.833968470298634,-2.72984088641728e-08,3.4368271942594003e-18,-1.80978367286937,0.0,35.1822860907749,0.0117587368617347,0.332431643218882
1996-10-03,1.43,8.11,12.5,0.21,0.0,1.1859357273361199e-07,0.0,0.8495627786555492,0.494563965380922,0.19718327771644398,9.3953334031147,5.22776176811963e-19,0.0,5.1114713461955995e-06,7.2711303911666795e-06,0.115861126984813,0.00572626920954177,0.2267342301319,1.43550909248003e-06,0.545422005278997,0.0,1.1354989212674e-05,0.0,0.0,0.289312299007946,2.1870863145615498e-54,0.341219498884281,0.244138013118888,-0.0,0.118121658448782,5.16192462061339e-07,0.6205903366342329,0.0232421728695792,0.286068193846517,0.9714079862600901,0.162223914621689,0.34277943818593704,0.586006106787492,0.0808198622315832,0.8353557071710741,-2.8056278669936605e-08,1.66117120561195e-18,-1.82589130715927,0.0,36.2832281514841,0.009911399802550529,0.34857392643922197
1996-10-04,0.0,9.75,17.42,0.2,0.0,4.01883803362854e-08,0.0,0.42845041741794804,0.48308061761623705,0.0872085092708663,9.39528983899488,1.73208887788234e-19,0.0,4.9796466029549695e-06,7.26196764573746e-06,0.0541243102632519,0.00590513964790545,0.000103400337548493,7.437536379945151e-07,0.5620461156873431,0.0,6.341495769693139e-06,0.0,0.0,0.258845494216229,1.2145184485241698e-54,0.3271124792422,0.31369672408184,-0.0,0.11370203805028099,7.03517061905799e-07,1.55556318970016e-09,0.017915502899281004,0.309070436826426,0.897653727003368,0.16982228823070902,0.000207771024849296,0.531520822223587,0.0783971217215223,0.8679061653333381,-2.85331236627427e-08,8.00140334257804e-19,-1.8336453465766698,0.0,37.5011117941086,0.0084896315686416,0.331301129317942
1996-10-05,0.0,11.03,18.38,0.19,0.0,1.36188317530649e-08,0.0,0.21597067986349103,0.4709736449231121,0.0385716321665839,9.39525017853752,5.928383571767059e-20,0.0,4.84464856576003e-06,7.25282340286499e-06,0.0252864528862026,0.00604736828616695,0.00010339506701056601,3.8495694927473e-07,0.5786047302784411,0.0,3.5415769970216302e-06,0.0,0.0,0.23018169252229798,6.398924032935129e-55,0.313075109791586,0.319114087115359,-0.0,0.109995310246486,6.88446742652949e-07,1.5555515230384e-09,0.014441939033123002,0.31270088035049104,0.82827149382293,0.163528142738587,-0.0006341183645733451,0.483235868962439,0.0759236834857869,0.851452368281883,-2.79779251400903e-08,3.8437958686747e-19,-1.8365265840851497,0.0,39.004795245963,0.007369622819469171,0.316714088279122
1996-10-06,0.0,12.63,20.55,0.19,0.0,4.61507970130433e-09,0.0,0.10874586370377,0.459329921471965,0.0170608313502057,9.39521522459633,1.9776963134822498e-20,0.0,4.69880685752126e-06,7.24369761116467e-06,0.0118148214600691,0.00625929006677077,0.00010338979700990799,1.9882461732887602e-07,0.594502077008418,0.0,1.9778878802974e-06,0.0,0.0,0.20653647521307897,3.0759978492159696e-55,0.298765527264328,0.284082373941817,-0.0,0.10676858188802302,5.628082933988811e-07,1.5555398564929002e-09,0.0119393418916024,0.296295649803016,0.7606391656162621,0.147229820175911,0.000357609629371884,0.44039973434571705,0.0733814613572599,0.8430035324640591,-2.6262294102444302e-08,1.84271997822083e-19,-1.8366037362907401,0.0,41.217875703088204,0.00646901549720799,0.304058347816896
1996-10-07,0.0,13.49,20.09,0.19,0.0,1.56393448686213e-09,0.0,0.0547685970385524,0.45217217230020396,0.00754672233692451,9.395184415623369,6.65017185990935e-21,0.0,4.56043090349941e-06,7.23459021943349e-06,0.005520941237793371,0.00649100925692244,0.000103384527546431,1.0253510817495699e-07,0.6085014063275079,0.0,1.10460409877218e-06,0.0,0.0,0.18703509827002,1.4896802675897695e-55,0.285288910543737,0.23249962068219,-0.0,0.103853542608594,4.1138897851330295e-07,1.5555281901243899e-09,0.00997590249974416,0.266200353113632,0.6946807852021949,0.12634764186741,-0.000103134223332322,0.402349301223363,0.0707770657364598,0.838635414170381,-2.4792193231196402e-08,8.81989502636558e-20,-1.83485105437873,0.0,43.552976343484104,0.0057318178450516295,0.29281114764049104
1996-10-08,0.0,13.89,20.57,0.19,0.0,5.299780800113709e-10,0.0,0.0275768832487365,0.44887171086791905,0.00333845815651805,9.39515725642724,2.2058796520742e-21,0.0,4.42317594675644e-06,7.22550117664921e-06,0.00258017393743164,0.00672272846778525,0.00010337925862005999,5.27670462550859e-08,0.620918878093397,0.0,6.168955415414271e-07,0.0,0.0,0.170818896231196,7.037067580548039e-56,0.272298364038473,0.17963291815361898,-0.0,0.10116993166453801,2.78799076965427e-07,1.5555165238687601e-09,0.008346612407983409,0.229323103004943,0.631002887907051,0.10477667930149,0.000129772591930891,0.368509595054472,0.0681243551014876,0.8363583116125759,-2.37285997459683e-08,4.2162488749638994e-20,-1.8320211468815901,0.0,45.86870093282911,0.005119088689128529,0.28260962678197
1996-10-09,0.0,14.52,20.03,0.19,0.0,1.7959624757433998e-10,0.0,0.013889199451605,0.43978986951096205,0.00147695306710389,9.39513331092885,7.335615588871789e-22,0.0,4.29343460368102e-06,7.21643043196965e-06,0.0012059745228495,0.006954447688059679,0.000103373990230712,2.71090738162216e-08,0.632531847453444,0.0,3.44521724658366e-07,0.0,0.0,0.154628644201557,3.3684140856331797e-56,0.26014551253717805,0.133154709413869,-0.0,0.098676503532515,1.78999976673595e-07,1.5555048577185902e-09,0.0069561986102841394,0.19110839671643498,0.570385782339907,0.0848085421438624,-0.000826642443451767,0.33837741692978,0.0654425784419787,0.8351595163991651,-2.30195308083943e-08,2.01356886355226e-20,-1.82813634197319,0.0,48.20214533838679,0.00460311785973355,0.273201294311265
1996-10-10,0.0,14.68,20.93,0.19,0.0,6.08606532219058e-11,0.0,0.006992167396568071,0.44277210037769704,0.000653468926921709,9.39511219548172,2.39075601845558e-22,0.0,4.16221928496999e-06,7.20737793473185e-06,0.000563746919147657,0.00718616691261097,0.000103368722378298,1.38992028554067e-08,0.643740704514758,0.0,1.92407321448609e-07,0.0,0.0,0.13261036903777101,1.55232848327733e-56,0.24833370225430001,0.0956573615914519,-0.0,0.0963362284746379,1.1039707106548801e-07,1.55549319173734e-09,0.00575946239584938,0.155058071830163,0.5134087756453359,0.0674392153318818,0.000490017534762999,0.311510786593598,0.0627493242248099,0.8345211119322828,-2.033110115939e-08,9.608955546258359e-21,-1.82368518060596,0.0,50.3238866106511,0.00416374119185757,0.264409860384772
